2,994270889633569; 294,2528735632185
28,337477029510325; 299,425287356322
56,55604799481138; 298,8505747126438
82,85050264836235; 302,87356321839087
109,12333801751163; 309,19540229885064
125,9917846719274; 315,51724137931046
135,37995892335965; 317,24137931034494
143,82228948221817; 319,54022988505756
153,19424927034916; 322,9885057471265
164,4524916225273; 325,8620689655173
170,99232515403742; 330,4597701149426
181,30472381364177; 333,90804597701157
188,7958058588261; 337,3563218390805
196,28688790401043; 340,80459770114953
205,6372284077397; 346,5517241379311
235,5745324829748; 363,2183908045978
244,01145822073295; 366,0919540229886
260,8745000540482; 372,9885057471265
269,30061614960545; 377,0114942528736
318,9979461679818; 392,52873563218395
373,15965841530647; 433,33333333333337
381,54253594206034; 441,9540229885058
390,8820668035888; 448,8505747126437
398,30288617446763; 459,7701149425288
404,7886714949735; 470,1149425287357
415,0686412279754; 477,0114942528736
425,294562749973; 489,65517241379314
431,79656253378016; 498,2758620689656
441,07664036320404; 511,49425287356325
449,4433034266566; 521,8390804597701
457,79375202680797; 533,9080459770115
468,03588801210685; 544,8275862068966
475,4404929196844; 557,4712643678162
484,67192735920435; 575,8620689655172
492,98454221165287; 591,9540229885058
497,62187871581455; 598,8505747126437
